Book Title,ISBN Number,Price in Egyptian Pounds,Price in USD
“CM1 ; livre de l’élève,9782210655027,30,1.5789473684210527
“le moniteur de lecture Arthur ; CE1 ; livre de l’élève,9782091509549,20,1.0526315789473684
"“lecture ; CE1 ; niveau 3, cycle 2",9782091214603,20,1.0526315789473684
“mon cahier de soutien ; mathématiques ; CE2”,9782701153841,20,1.0526315789473684
ADO 2 Cahier D’Exercices,9782090339758,30,1.5789473684210527
ADO 3: Methode de Francais,9782090339772,20,1.0526315789473684
Atelier de Lecture CE1,9782091210414,20,1.0526315789473684
"Bled CM2-6e. Orthographe, conjugaison, grammaire",9782011161178,20,1.0526315789473684
"Bruit de page, CM2. Guide pédagogique",9782091211961,20,1.0526315789473684
"Bruit de page, CM2. Livre de l’ÃƒÂ©lÃƒÂ¨ve",9782091208152,30,1.5789473684210527
Cahier D’Exercices No1,9782091215563,20,1.0526315789473684
Comprehension Plus,0199181764,15,0.7894736842105263
“CM1 ; livre de l’élève,9782210655027,30,1.5789473684210527
“le moniteur de lecture Arthur ; CE1 ; livre de l’élève,9782091509549,20,1.0526315789473684
"“lecture ; CE1 ; niveau 3, cycle 2",9782091214603,20,1.0526315789473684
“mon cahier de soutien ; mathématiques ; CE2”,9782701153841,20,1.0526315789473684
ADO 2 Cahier D’Exercices,9782090339758,30,1.5789473684210527
ADO 3: Methode de Francais,9782090339772,20,1.0526315789473684
Atelier de Lecture CE1,9782091210414,20,1.0526315789473684
"Bled CM2-6e. Orthographe, conjugaison, grammaire",9782011161178,20,1.0526315789473684
"Bruit de page, CM2. Guide pédagogique",9782091211961,20,1.0526315789473684
"Bruit de page, CM2. Livre de l’ÃƒÂ©lÃƒÂ¨ve",9782091208152,30,1.5789473684210527
Cahier D’Exercices No1,9782091215563,20,1.0526315789473684
Comprehension Plus,0199181764,15,0.7894736842105263
Delf Prim A1,9782090380101,30,1.5789473684210527
Echo A1 (Nouvelle Version,9782090385632,50,2.6315789473684212
Echo A2 (Nouvelle Version),9782090385670,50,2.6315789473684212
Education civique cycle 3 livre du maitre,9782091212678,20,1.0526315789473684
"Espace, temps et education civique CE1",9782218734526,20,1.0526315789473684
Expo 1 Pupil Book,9780435384739,25,1.3157894736842106
Expo 3: Rouge Pupil Book,9780435385934,25,1.3157894736842106
Gafi lecture CE1 livre eleve methode de lecture,9782091201702,30,1.5789473684210527
Ile aux mots CE2 cycle 3 tout le francais eleve,9782091212838,30,1.5789473684210527
Ile aux mots tout le franÃ§ais au CM2 cycle 3 eleve,9782091212890,30,1.5789473684210527
L’atelier de lecture CP,9782091210063,20,1.0526315789473684
Les maths Ã  la dÃ©couverte du monde,9782011173126,30,1.5789473684210527
Delf Prim A1,9782090380101,30,1.5789473684210527
Echo A1 (Nouvelle Version,9782090385632,50,2.6315789473684212
Echo A2 (Nouvelle Version),9782090385670,50,2.6315789473684212
Education civique cycle 3 livre du maitre,9782091212678,20,1.0526315789473684
"Espace, temps et education civique CE1",9782218734526,20,1.0526315789473684
Expo 1 Pupil Book,9780435384739,25,1.3157894736842106
Expo 3: Rouge Pupil Book,9780435385934,25,1.3157894736842106
Gafi lecture CE1 livre eleve methode de lecture,9782091201702,30,1.5789473684210527
Ile aux mots CE2 cycle 3 tout le francais eleve,9782091212838,30,1.5789473684210527
Ile aux mots tout le franÃ§ais au CM2 cycle 3 eleve,9782091212890,30,1.5789473684210527
L’atelier de lecture CP,9782091210063,20,1.0526315789473684
Les maths Ã  la dÃ©couverte du monde,9782011173126,30,1.5789473684210527
Lire et écrire des contes,9782040192471,20,1.0526315789473684
Lire et écrire des contes,9782040281076,20,1.0526315789473684
Math en flèche CE2,9782091214269,20,1.0526315789473684
Math en flèche CM2,9782091214290,30,1.5789473684210527
Mathématiques : manuel élève CM1,9782091214276,30,1.5789473684210527
Maths 1e S,9782218932953,30,1.5789473684210527
Maths CM2,9782210746992,20,1.0526315789473684
Multilectures CE2,9782011160430,30,1.5789473684210527
Optimath CM2,9782011160812,30,1.5789473684210527
Orthographe active CM1 cycle 3 niveau 2 fiches d orthographe eleve,9782091213361,20,1.0526315789473684
Outils pour le francais cycle 3 CE2,9782210655010,30,1.5789473684210527
Sciences et technologie CE2 cycle 3 niveau 1 tp,9782091200811,15,0.7894736842105263
Lire et écrire des contes,9782040192471,20,1.0526315789473684
Lire et écrire des contes,9782040281076,20,1.0526315789473684
Math en flèche CE2,9782091214269,20,1.0526315789473684
Math en flèche CM2,9782091214290,30,1.5789473684210527
Mathématiques : manuel élève CM1,9782091214276,30,1.5789473684210527
Maths 1e S,9782218932953,30,1.5789473684210527
Maths CM2,9782210746992,20,1.0526315789473684
Multilectures CE2,9782011160430,30,1.5789473684210527
Optimath CM2,9782011160812,30,1.5789473684210527
Orthographe active CM1 cycle 3 niveau 2 fiches d orthographe eleve,9782091213361,20,1.0526315789473684
Outils pour le francais cycle 3 CE2,9782210655010,30,1.5789473684210527
Sciences et technologie CE2 cycle 3 niveau 1 tp,9782091200811,15,0.7894736842105263
Tempo 2: Methode de Francais,9782278044276,30,1.5789473684210527
Tempo: Guide Pedagogique 1,9782278044269,20,1.0526315789473684
Tout le francais au CE2,9782091216966,20,1.0526315789473684
Zigzag 1,9782090383867,20,1.0526315789473684
Tempo 2: Methode de Francais,9782278044276,30,1.5789473684210527
Tempo: Guide Pedagogique 1,9782278044269,20,1.0526315789473684
Tout le francais au CE2,9782091216966,20,1.0526315789473684
Zigzag 1,9782090383867,20,1.0526315789473684
